mc_step,rho_C,L_CD
1072,0.8575,1706
1073,0.0732,732
1074,0.8595,1692
1075,0.0728,750
1076,0.8573,1802
1077,0.0722,796
1078,0.8578,1696
1079,0.0733,780
1080,0.8551,1710
1081,0.0748,806
1082,0.8536,1776
1083,0.0753,812
1084,0.8567,1748
1085,0.0721,766
1086,0.8577,1750
1087,0.0742,806
1088,0.8542,1762
1089,0.0753,804
1090,0.8545,1822
1091,0.075,802
1092,0.8553,1762
1093,0.0752,808
1094,0.8583,1796
1095,0.072,776
1096,0.8575,1768
1097,0.0729,772
1098,0.8588,1698
1099,0.0727,780
1100,0.8532,1850
1101,0.0731,796
1102,0.8583,1684
1103,0.0714,736
1104,0.857,1856
1105,0.0718,768
1106,0.8574,1702
1107,0.0734,756
1108,0.8561,1738
1109,0.0734,830
1110,0.8572,1674
1111,0.0726,772
1112,0.8604,1706
1113,0.0728,726
1114,0.8558,1756
1115,0.0714,768
1116,0.8605,1782
1117,0.0707,726
1118,0.8633,1692
1119,0.069,720
1120,0.8604,1740
1121,0.0722,750
1122,0.8553,1704
1123,0.0725,774
1124,0.8596,1748
1125,0.0709,760
1126,0.8606,1720
1127,0.0706,748
1128,0.8592,1724
1129,0.073,774
1130,0.8512,1852
1131,0.0727,732
1132,0.8607,1688
1133,0.0719,726
1134,0.8579,1734
1135,0.0733,756
1136,0.8578,1752
1137,0.0718,770
1138,0.8619,1670
1139,0.0707,758
1140,0.8604,1774
1141,0.072,770
1142,0.859,1694
1143,0.0725,774
1144,0.8553,1776
1145,0.0755,802
1146,0.8554,1714
1147,0.0747,766
1148,0.8552,1722
1149,0.0745,804
1150,0.8566,1650
1151,0.0734,790
1152,0.855,1768
1153,0.0735,788
1154,0.857,1750
1155,0.0724,798
1156,0.8563,1778
1157,0.0729,786
1158,0.8556,1776
1159,0.0723,794
1160,0.8602,1728
1161,0.0699,750
1162,0.8625,1756
1163,0.0697,700
1164,0.8632,1620
1165,0.0715,710
1166,0.8596,1712
1167,0.0694,698
1168,0.8626,1654
1169,0.0699,698
1170,0.8595,1714
1171,0.0716,720
1172,0.8601,1670
1173,0.0727,734
1174,0.862,1632
1175,0.0713,744
1176,0.8618,1704
1177,0.0707,784
1178,0.8604,1790
1179,0.0721,800
1180,0.8606,1762
1181,0.0706,766
1182,0.8587,1682
1183,0.0737,822
1184,0.8581,1638
1185,0.0716,786
1186,0.8586,1764
1187,0.0727,824
1188,0.8617,1550
1189,0.0743,764
1190,0.86,1554
1191,0.0745,768
1192,0.8596,1662
1193,0.0723,744
1194,0.8594,1652
1195,0.072,740
1196,0.8581,1668
1197,0.0717,742
1198,0.8596,1702
1199,0.0714,732
1200,0.8581,1702
1201,0.0711,718
1202,0.8636,1658
1203,0.0715,714
1204,0.8634,1672
1205,0.0693,742
1206,0.8659,1692
1207,0.0705,720
1208,0.8614,1702
1209,0.0697,734
1210,0.8607,1702
1211,0.0727,790
1212,0.8583,1690
1213,0.073,824
1214,0.8609,1700
1215,0.0714,776
1216,0.858,1712
1217,0.0727,764
1218,0.8558,1786
1219,0.0714,744
1220,0.8588,1688
1221,0.0735,836
1222,0.8612,1682
1223,0.0704,726
1224,0.8615,1636
1225,0.0697,742
1226,0.8629,1644
1227,0.0699,772
1228,0.86,1800
1229,0.0701,720
1230,0.8643,1606
1231,0.0709,734
1232,0.8626,1708
1233,0.0717,764
1234,0.8628,1612
1235,0.073,766
1236,0.861,1630
1237,0.0734,758
1238,0.8594,1592
1239,0.0724,758
1240,0.8596,1654
1241,0.072,774
1242,0.8634,1646
1243,0.0722,778
1244,0.8604,1764
1245,0.0688,772
1246,0.865,1606
1247,0.0697,778
