mc_step,rho_C,L_CD
710,0.6662,8748
711,0.6591,8870
712,0.6699,8820
713,0.6678,8804
714,0.6576,8924
715,0.6644,8862
716,0.6559,9054
717,0.6607,8992
718,0.6618,9082
719,0.6581,8956
720,0.6601,9116
721,0.6607,8912
722,0.6619,9122
723,0.671,8954
724,0.6693,8830
725,0.6598,9038
726,0.664,8930
727,0.665,8862
728,0.6546,9004
729,0.6614,9044
730,0.6593,9016
731,0.6564,9094
732,0.6588,8954
733,0.6778,8794
734,0.6684,8870
735,0.6658,8908
736,0.6688,8870
737,0.6637,9050
738,0.6641,8956
739,0.6679,8820
740,0.6635,8948
741,0.6604,8854
742,0.6646,8852
743,0.6637,8914
744,0.6611,8916
745,0.6547,9168
746,0.6637,8868
747,0.6685,8900
748,0.6608,8956
749,0.6628,8888
750,0.6592,9034
751,0.6603,8882
752,0.6605,8954
753,0.6595,8970
754,0.6617,9016
755,0.6595,8926
756,0.6655,8910
757,0.6643,9002
758,0.6686,8848
759,0.6598,9084
760,0.6566,8906
761,0.6551,8992
762,0.6606,8974
763,0.6601,9022
764,0.652,9006
765,0.663,8964
766,0.658,9084
767,0.659,9094
768,0.6603,9044
769,0.6608,8966
770,0.66,8876
771,0.6615,8906
772,0.6568,9006
773,0.6543,9078
774,0.6616,8894
775,0.6627,9054
776,0.6646,8962
777,0.666,8944
778,0.6662,8856
779,0.657,8998
780,0.6612,9020
781,0.6645,8946
782,0.6653,8908
783,0.6596,8962
784,0.657,9124
785,0.6647,8960
786,0.6611,8918
787,0.6677,8900
788,0.6657,9094
789,0.6715,8824
790,0.6572,9114
791,0.6546,9060
792,0.6612,8860
793,0.6717,8834
794,0.6645,8954
795,0.6648,8838
796,0.6614,8938
797,0.6614,8982
798,0.6605,9044
799,0.6627,8876
800,0.6608,9014
801,0.6615,8834
802,0.6525,8986
803,0.6633,8910
804,0.6732,8840
805,0.6627,8896
806,0.6602,9056
807,0.6632,8978
808,0.6658,8952
809,0.6673,8902
810,0.6584,8980
811,0.6736,8944
812,0.6684,8876
813,0.6697,8802
814,0.6648,8858
815,0.6614,8962
816,0.6615,8956
817,0.6669,8852
818,0.6616,8866
819,0.6648,9016
820,0.6634,9008
821,0.6592,8914
822,0.6574,8960
823,0.6621,8918
824,0.6555,8986
825,0.6603,8980
826,0.6685,8808
827,0.6665,8952
828,0.6617,8906
829,0.6582,8908
830,0.6671,8958
831,0.6602,8988
832,0.6499,9074
833,0.6603,8932
834,0.655,8956
835,0.6643,8814
836,0.664,8940
837,0.6677,8840
838,0.661,8892
839,0.6583,9038
840,0.66,8914
841,0.659,9098
842,0.6633,8874
843,0.6551,8976
844,0.6477,9240
845,0.6661,8832
846,0.6633,8912
847,0.6715,8808
848,0.6666,8894
849,0.6645,8908
850,0.6632,8896
851,0.6548,9180
852,0.6563,9106
853,0.6615,8986
854,0.6544,9082
855,0.6569,8938
856,0.6657,8882
857,0.6594,9102
858,0.6575,9006
859,0.6547,8950
860,0.6524,9138
861,0.6635,8972
862,0.6565,9028
863,0.6606,8944
864,0.6652,8876
865,0.6571,9020
866,0.6647,8990
867,0.6653,8948
868,0.6596,8952
869,0.6654,8898
870,0.6666,8968
871,0.6719,8872
872,0.659,8992
873,0.6564,9086
874,0.6545,9104
875,0.6626,8996
876,0.67,9000
877,0.6684,8854
878,0.6649,9078
879,0.6665,8822
880,0.6628,8896
881,0.6557,8944
882,0.6675,8876
883,0.6685,8928
884,0.6682,8938
885,0.6657,8934
886,0.6625,8968
887,0.6523,9054
888,0.6663,8912
889,0.66,9044
890,0.6712,8894
891,0.6723,8832
892,0.6659,8844
893,0.6544,9084
894,0.6637,9016
895,0.6599,8910
896,0.6614,8888
897,0.6622,9080
898,0.6635,8928
899,0.6611,8854
900,0.6657,8788
901,0.6661,8760
902,0.6652,8836
903,0.6621,9014
904,0.6694,8870
905,0.6651,8956
906,0.6673,8944
907,0.6661,8850
908,0.6566,9048
909,0.6596,9012
910,0.659,9016
911,0.6576,8902
912,0.6594,9012
913,0.6622,8954
914,0.6564,8900
915,0.6659,8926
916,0.6632,8886
917,0.6598,8926
918,0.6622,8972
919,0.6641,8990
920,0.6648,8982
921,0.6582,8980
922,0.6575,9038
923,0.6633,8954
924,0.6541,8906
925,0.6598,8928
926,0.6572,9018
927,0.6642,8970
928,0.6541,9030
929,0.6675,8846
930,0.6675,8718
931,0.6537,9058
932,0.6647,8942
933,0.6648,8852
934,0.6605,9022
935,0.6628,9016
936,0.6676,8922
937,0.6664,9022
938,0.6581,9036
939,0.6598,8854
940,0.6605,8942
941,0.6641,8964
942,0.6607,8936
943,0.661,8954
944,0.6661,8918
945,0.6569,8964
946,0.6585,9070
947,0.667,8820
948,0.6634,9032
949,0.6581,9060
950,0.6536,8992
951,0.6574,8966
952,0.6712,8976
953,0.6669,9012
954,0.669,8962
955,0.6635,9026
956,0.6671,8834
957,0.663,8928
958,0.6612,8972
959,0.6675,8968
960,0.6616,9040
961,0.6678,8822
962,0.6601,8934
963,0.6684,8874
964,0.6575,8968
965,0.6645,8826
966,0.6705,8924
967,0.6677,8890
968,0.6661,8744
969,0.6624,8924
970,0.6623,8968
971,0.6627,9064
972,0.6591,9022
973,0.666,8850
974,0.6636,8752
975,0.6585,9004
976,0.6595,8946
977,0.659,9094
978,0.6576,8928
979,0.6632,9008
980,0.6632,8946
981,0.6622,8874
982,0.6607,8918
983,0.6631,8992
984,0.6608,8920
985,0.6616,8920
986,0.6571,8982
987,0.6579,9234
988,0.6653,8922
989,0.6504,9138
990,0.6548,9024
991,0.6615,8954
992,0.6564,9046
993,0.6558,9074
994,0.6633,9066
995,0.6598,8954
996,0.658,8916
997,0.6527,9174
998,0.6596,8840
999,0.6612,8970
1000,0.6689,8900
1001,0.6676,9022
1002,0.6662,8734
1003,0.6608,9066
1004,0.6618,8906
1005,0.657,8846
1006,0.6587,8856
1007,0.6625,8940
1008,0.6691,8884
1009,0.6657,8872
1010,0.67,8808
1011,0.6653,8968
1012,0.6632,8854
1013,0.6631,9020
1014,0.6654,9000
1015,0.6622,8928
1016,0.6665,8820
1017,0.6611,9002
1018,0.6543,9078
1019,0.6576,9076
1020,0.6551,9032
1021,0.6612,8954
1022,0.6604,8908
1023,0.6625,9012
1024,0.6564,9130
1025,0.6569,8942
1026,0.6669,8850
1027,0.6647,8766
1028,0.6645,8978
1029,0.666,8902
1030,0.6587,8978
1031,0.6656,8868
1032,0.6622,8910
1033,0.6587,8982
1034,0.6616,9002
1035,0.6666,8788
1036,0.6491,9132
1037,0.6593,9064
1038,0.6627,8936
1039,0.6462,9124
1040,0.6621,8966
1041,0.6628,8936
1042,0.6672,8846
1043,0.6666,8842
1044,0.6617,8876
1045,0.6617,8936
1046,0.668,8850
1047,0.6581,8948
1048,0.6578,8942
1049,0.6614,8932
1050,0.6582,8912
1051,0.6518,8934
1052,0.6625,8922
1053,0.6591,8926
1054,0.6647,9008
1055,0.6647,8964
1056,0.6571,8924
1057,0.6508,9134
1058,0.6549,9110
1059,0.6564,9050
1060,0.6649,8872
1061,0.6621,8938
1062,0.6654,8934
1063,0.6593,8994
1064,0.6565,9022
1065,0.662,8994
1066,0.6703,8808
1067,0.6604,9070
1068,0.6551,8974
1069,0.6595,8962
1070,0.6696,8932
1071,0.6621,8984
1072,0.653,9102
1073,0.6659,8906
1074,0.6621,8934
1075,0.6646,8958
1076,0.666,8762
1077,0.6679,8968
1078,0.6675,8824
1079,0.6623,8892
1080,0.6544,8908
1081,0.6601,9154
1082,0.6639,9014
1083,0.6598,9062
1084,0.6616,8946
1085,0.6709,8796
1086,0.6604,9072
1087,0.6611,8926
1088,0.6644,9010
1089,0.6566,9148
1090,0.6629,8964
1091,0.6578,9138
1092,0.658,9072
1093,0.66,9090
1094,0.6505,9106
1095,0.6512,8988
1096,0.6623,8952
