mc_step,rho_C,rho_CD
1147,0.2064,0.3376
1148,0.1932,0.3156
1149,0.2104,0.3304
1150,0.1944,0.3096
1151,0.1932,0.3072
1152,0.2024,0.3204
1153,0.1888,0.3
1154,0.2028,0.3188
1155,0.2108,0.3276
1156,0.2032,0.3252
1157,0.1968,0.3208
1158,0.206,0.3284
1159,0.1888,0.3012
1160,0.2056,0.3264
1161,0.2016,0.338
1162,0.2068,0.3412
1163,0.1868,0.3152
1164,0.1964,0.314
1165,0.184,0.2976
1166,0.1984,0.324
1167,0.194,0.31
1168,0.2092,0.3348
1169,0.2012,0.3276
1170,0.202,0.3288
1171,0.1892,0.3052
1172,0.1944,0.3196
1173,0.1844,0.2976
1174,0.2204,0.3424
1175,0.186,0.2984
1176,0.2124,0.34
1177,0.18,0.304
1178,0.2096,0.336
1179,0.1948,0.3184
1180,0.2072,0.3312
1181,0.1932,0.3224
1182,0.2048,0.3304
1183,0.2004,0.32
1184,0.1952,0.3204
1185,0.1968,0.3076
