mc_step,rho_C,rho_CD
929,0.35,0.2156
930,0.4672,0.2288
931,0.3576,0.2152
932,0.47,0.2128
933,0.3576,0.2064
934,0.4672,0.22
935,0.3584,0.1996
936,0.4592,0.208
937,0.37,0.204
938,0.4552,0.2216
939,0.3624,0.2128
940,0.4588,0.2288
941,0.3604,0.2088
942,0.4752,0.22
943,0.3548,0.2112
944,0.4684,0.214
945,0.3564,0.208
946,0.4828,0.2344
947,0.346,0.2048
948,0.4756,0.224
949,0.35,0.2096
950,0.4812,0.2244
951,0.3496,0.2092
952,0.4764,0.2236
953,0.3452,0.196
954,0.4932,0.214
955,0.3492,0.1932
956,0.478,0.2148
957,0.3608,0.2104
958,0.4676,0.2356
959,0.3564,0.2064
960,0.474,0.2176
961,0.364,0.2072
962,0.4636,0.2032
963,0.3492,0.1908
964,0.4752,0.232
965,0.3444,0.1976
966,0.4824,0.226
967,0.3588,0.2104
968,0.4784,0.2268
969,0.3588,0.2084
970,0.4664,0.2144
971,0.3588,0.1972
972,0.456,0.214
973,0.3736,0.2064
974,0.4596,0.2048
975,0.3632,0.2148
976,0.4728,0.2232
977,0.3556,0.2096
978,0.4704,0.2108
979,0.3616,0.2192
980,0.4604,0.2092
981,0.3652,0.2124
982,0.4664,0.2172
983,0.3552,0.202
984,0.476,0.218
985,0.346,0.208
986,0.4784,0.2288
987,0.3444,0.2092
988,0.4788,0.2196
989,0.3536,0.212
990,0.468,0.2268
991,0.3532,0.2164
992,0.4764,0.2216
993,0.3568,0.21
994,0.4664,0.2108
995,0.364,0.2152
996,0.462,0.2152
997,0.3676,0.2296
998,0.47,0.2384
999,0.3468,0.2088
1000,0.478,0.2368
1001,0.3488,0.226
1002,0.4744,0.226
1003,0.3504,0.2012
1004,0.4764,0.214
1005,0.3384,0.198
1006,0.4848,0.2252
1007,0.3464,0.194
1008,0.4928,0.2256
1009,0.3324,0.1836
1010,0.4992,0.2284
1011,0.336,0.1996
1012,0.498,0.2208
1013,0.3316,0.1928
1014,0.4924,0.2272
1015,0.328,0.1912
1016,0.4976,0.2304
1017,0.34,0.1996
1018,0.4896,0.2372
1019,0.332,0.2052
1020,0.4872,0.2296
1021,0.34,0.2
1022,0.4936,0.2308
1023,0.332,0.1972
1024,0.5044,0.2156
1025,0.3332,0.1916
1026,0.492,0.208
1027,0.3396,0.1944
1028,0.4876,0.2172
1029,0.3432,0.1912
1030,0.4784,0.22
1031,0.346,0.2024
1032,0.4768,0.2196
1033,0.338,0.2004
1034,0.4868,0.2244
1035,0.3452,0.2072
1036,0.4824,0.2156
1037,0.348,0.2084
1038,0.4776,0.226
1039,0.3468,0.196
1040,0.4652,0.226
1041,0.362,0.2124
1042,0.4676,0.204
1043,0.3572,0.1976
1044,0.4724,0.2088
1045,0.3644,0.2024
1046,0.4828,0.2136
1047,0.342,0.1964
1048,0.49,0.22
1049,0.3412,0.2084
1050,0.4824,0.2328
1051,0.3448,0.2196
1052,0.4768,0.2352
