BETA,GAMMA,mean_rho_c,var_rho_c,std_rho_c,cv_rho_c
0.10630449594493915,0.9603076861222645,0.39095591999999996,0.0482970918809536,0.21976599345884615,0.5621247363611892
0.10630449594493915,1.0208502452527815,0.34055328,0.0316619544252416,0.17793806345254407,0.5224969891716916
0.10630449594493915,1.0852097075686449,0.0,0.0,0.0,0.0
0.10630449594493915,1.153626709576396,0.0,0.0,0.0,0.0
0.10630449594493915,1.226357058701375,0.0,0.0,0.0,0.0
0.10630449594493915,1.303672689737678,0.0,0.0,0.0,0.0
0.10630449594493915,1.3858626815974695,0.0,0.0,0.0,0.0
0.10630449594493915,1.4732343381612067,0.0,0.0,0.0,0.0
0.10630449594493915,1.5661143372700317,0.0,0.0,0.0,0.0
0.10630449594493915,1.6648499521563311,0.0,0.0,0.0,0.0
0.10630449594493915,1.769810349879349,0.0,0.0,0.0,0.0
0.10630449594493915,1.8813879716206057,0.0,0.0,0.0,0.0
0.10630449594493915,2.0,0.0,0.0,0.0,0.0
0.11300645858107586,0.1,0.36755208,0.00012052067967360001,0.010978191092962447,0.029868396045976523
0.11300645858107586,0.10630449594493915,0.36694296000000004,0.0001175412584384,0.010841644637157224,0.029545858127806083
0.11300645858107586,0.11300645858107586,0.36603672,0.0001241946516416,0.011144265415073351,0.03044575805146913
0.11300645858107586,0.12013094617983913,0.36541208000000003,0.0001203637580736,0.01097104179527177,0.030023752349051427
0.11300645858107586,0.12770459681036414,0.36415144,0.00011562253792640001,0.010752792099096867,0.029528352542274355
0.11300645858107586,0.13575572793777443,0.36324984000000005,0.00012171479597439998,0.011032442883350903,0.030371501012501207
0.11300645858107586,0.14431444230063406,0.36237832,0.00011959092197760002,0.010935763438260724,0.03017775301309616
0.11300645858107586,0.1534127404634391,0.36124472,0.0001161686561216,0.010778156434270195,0.029836163236573243
0.11300645858107586,0.16308464046497667,0.35991784,0.0001223336977344,0.011060456488518004,0.030730503629711726
0.11300645858107586,0.1733663050099097,0.358562,0.00012372086,0.011122987907931932,0.031021100696481868
0.11300645858107586,0.18429617667915033,0.35718304,0.0001201839043584,0.010962841983646394,0.030692504279168448
0.11300645858107586,0.1959151216645652,0.35577264000000003,0.00011694203543040001,0.010813974081270956,0.030395743982086297
0.11300645858107586,0.2082665825654304,0.35385776,0.0001203605037824,0.010970893481499126,0.031003682048682854
0.11300645858107586,0.22139674081793126,0.35194552,0.00012350323992960002,0.011113201155814647,0.03157648137079468
0.11300645858107586,0.23535468936502527,0.35005727999999997,0.00011705099100160001,0.010819010629516916,0.030906400888211543
0.11300645858107586,0.25019261621226735,0.34786816000000004,0.0001177001222144,0.010848968716629244,0.03118701267925539
0.11300645858107586,0.265965999555907,0.34544263999999997,0.0001223648378304,0.011061864120951767,0.03202228920249037
0.11300645858107586,0.28273381521282603,0.34283127999999996,0.00011258881356159999,0.010610787603264896,0.030950465206281346
0.11300645858107586,0.3005587571278905,0.3398156,0.00011568276464000001,0.010755592249616011,0.031651261006310515
0.11300645858107586,0.3195074717831778,0.33675776,0.00011871795978240001,0.010895777153668297,0.032354940101954284
0.11300645858107586,0.33965080738552583,0.333074,0.00011597679599999999,0.010769252341736636,0.03233291203076985
0.11300645858107586,0.36106407876409946,0.32928528,0.0001199808873216,0.010953578744939938,0.03326470817322881
